layer,head,n,mean_fact,mean_hallu,abs_diff,p_value
30,21,40,0.04168757616802131,0.043916759596216506,0.0022291834281951916,1.5484083358705927e-10
29,6,40,0.05311333022597586,0.055272883657648195,0.0021919279676790786,1.8707074134508803e-08
29,2,40,0.06333534989458203,0.06547646266094995,0.00215022804906234,1.7943580775511547e-08
29,4,40,0.04564044347591496,0.04777925853717206,0.0021388150612571067,4.944339645592587e-10
29,24,40,0.03226760445680097,0.03430629131379885,0.002109629309774927,6.520684153183294e-09
31,21,40,0.0463587134920503,0.04844657312050992,0.0020878596284596247,1.8544050293230307e-10
31,23,40,0.06063636698731596,0.062587394736723,0.002033765936938106,1.0009342954861146e-07
31,5,40,0.05359263918992054,0.05558125361563267,0.0020141212032123955,8.588043588022762e-09
30,28,40,0.05959772477588202,0.06159166912407036,0.002008872148031751,1.9526513987201293e-08
29,20,40,0.0332852133289798,0.0352645969729323,0.0019891700741299944,5.721720766749052e-11
30,17,40,0.048205801986649706,0.05014566789772653,0.0019398659110768314,1.2853021619431968e-09
30,5,40,0.051596894740097286,0.0535197190405571,0.0019228243004598307,7.959430755123882e-10
29,15,40,0.05261834441497184,0.054478613912793426,0.00188709568764467,2.889555238382567e-08
30,25,40,0.046769476357248936,0.04863541701776597,0.0018659406605170312,1.3581445611856645e-10
29,23,40,0.03967634315353015,0.04149172815037892,0.0018153849968487712,3.0098814015730543e-09
31,17,40,0.04926797276235824,0.051027724284605266,0.0017989478760639306,1.5231280632366025e-08
29,11,40,0.03768260057799148,0.03942048009238411,0.0017639124296764809,1.5879105327599045e-09
30,7,40,0.03861512297981018,0.0403125112585916,0.0017268550190325132,2.5007404233283287e-09
31,7,40,0.04392394033491319,0.04554583614710601,0.0016327614262853303,3.1355096372890766e-10
29,21,40,0.03666403349135435,0.03829124628359467,0.001629023451582471,6.063259293151595e-09
31,28,40,0.04904851934708265,0.050639542986715344,0.0016093360336568504,1.0069813634200221e-07
30,23,40,0.04738078303802681,0.04875516960575512,0.0015806300451564601,1.8389991852867426e-05
30,27,40,0.037352879775869555,0.03890141908831892,0.0015507327636216741,4.605549753594699e-09
29,22,40,0.04429612749144389,0.04583359049264945,0.0015423613995306812,9.90416260646549e-10
30,24,40,0.03965946870066371,0.04117938614648268,0.0015318262297456195,8.672119627481651e-09
29,7,40,0.029194949342301112,0.030656976372040727,0.0014647173029516604,8.208956994135689e-09
31,30,40,0.042404896766998025,0.04378665852285492,0.0014195769253616845,3.915040756024095e-08
30,0,40,0.039191645188431525,0.040584758995365046,0.0013966756561398924,3.5071697363547285e-10
31,19,40,0.04254472034205918,0.0438617636312459,0.0013696204918926297,3.513013113690432e-08
29,1,40,0.0354606427797316,0.036745321445265336,0.0013262830471722075,1.9080587627533197e-07
31,16,40,0.05129695293287939,0.052502943613871825,0.0013154838697234383,1.8861777826468565e-06
30,20,40,0.0554444129667158,0.05658245396689497,0.0012548792814319203,3.0046074068124185e-06
30,31,40,0.045494923958755845,0.04661205305893901,0.0012436733406977964,1.4449163546410074e-05
31,15,40,0.040923490380037224,0.04207883485210001,0.0012329907244642943,4.970745232264359e-07
29,5,40,0.022289786776815063,0.023464054195448492,0.0011812358830017304,1.0279364369018408e-08
30,30,40,0.03406596739324778,0.03520374023938984,0.0011569320524771648,4.2269387620052654e-07
30,6,40,0.03860203336575037,0.03970183548375187,0.0011131391498416972,8.828700698780469e-10
30,26,40,0.042282126632076165,0.043258484961200314,0.0010596188196002013,6.83234677977502e-06
31,29,40,0.04320249276122736,0.04420726734158672,0.0010410931751429792,1.3141035957464252e-06
30,10,40,0.049448945307684546,0.05036465835748612,0.000977065034541715,4.596364274055478e-06
31,18,40,0.040787634581500073,0.0416655180534965,0.0009476928760746954,4.812192303126876e-06
31,3,40,0.037921377860549596,0.0384135432836523,0.000868062994337748,0.00786627194989176
31,6,40,0.049940325703190416,0.05063684125071262,0.0008299900662242362,7.758985119090458e-05
30,2,40,0.04532814963544794,0.04576769441917118,0.0007617529314272875,0.004721932968287203
29,9,40,0.04113459801391195,0.04149808543798268,0.0007473521739484686,0.044242870305836034
31,31,40,0.047769614621222124,0.047756000977034904,0.0007324935308921978,0.9329274541069958
30,8,40,0.04207487234918904,0.0417376519681816,0.0007277030594717548,0.03145880360884867
29,10,40,0.04187534802727147,0.04207343629343491,0.0007195365200214995,0.19932717807061573
29,3,40,0.028104482862229684,0.02852756092712936,0.0007053869746551546,0.0069239245447401
30,4,40,0.03516625205512161,0.0350862115749646,0.0006836521399433463,0.6128584269135927
31,4,40,0.05084673713422685,0.050686432271231166,0.0006607960627752383,0.2603769039990592
30,1,40,0.04191724062675515,0.04188195479376704,0.0006185648113327867,0.7823052611957932
30,3,40,0.03743695064263181,0.03769679981727345,0.0005853659893002829,0.021445751270274215
